aded25,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,gen25tot,win25
81060,0,0,0,0,0,0,Tie
81061,0,0,0,0,0,0,Tie
81062,0,0,0,0,0,0,Tie
82001,116,375,310,0,2,803,gen25ac
82002,59,145,92,1,1,298,gen25ac
82003,156,256,135,1,0,548,gen25ac
82004,173,227,143,2,2,547,gen25ac
82005,132,176,100,1,4,413,gen25ac
82006,115,285,252,1,4,657,gen25ac
82007,68,71,47,0,2,188,gen25ac
82008,99,130,100,1,3,333,gen25ac
82009,174,233,121,2,1,531,gen25ac
82010,225,241,101,0,2,569,gen25ac
82011,162,196,75,0,3,436,gen25ac
82012,107,84,19,2,3,215,gen25zm
82013,96,84,14,0,2,196,gen25zm
82014,108,110,16,1,0,235,gen25ac
82015,54,73,41,0,2,170,gen25ac
82016,56,72,42,0,0,170,gen25ac
82017,2,2,4,0,0,8,gen25cs
82018,65,136,125,0,2,328,gen25ac
82019,73,151,131,0,0,355,gen25ac
82020,113,209,150,2,2,476,gen25ac
82021,51,129,105,3,1,289,gen25ac
82022,50,121,78,0,0,249,gen25ac
82023,59,111,80,1,1,252,gen25ac
82024,62,87,51,0,2,202,gen25ac
82025,270,227,87,1,0,585,gen25zm
82026,192,155,65,0,6,418,gen25zm
82027,146,179,93,1,4,423,gen25ac
82028,282,278,122,0,1,683,gen25zm
82029,251,245,89,1,5,591,gen25zm
82030,246,188,79,1,5,519,gen25zm
82031,183,194,89,0,2,468,gen25ac
82032,242,244,139,3,1,629,gen25ac
82033,93,144,77,1,0,315,gen25ac
82034,109,81,45,0,2,237,gen25zm
82035,37,13,10,0,1,61,gen25zm
82036,36,5,3,0,0,44,gen25zm
82037,5,6,1,0,0,12,gen25ac
82038,96,97,49,0,0,242,gen25ac
82039,73,74,40,1,2,190,gen25ac
82040,47,21,7,0,0,75,gen25zm
82041,249,422,179,2,6,858,gen25ac
82042,265,398,155,1,10,829,gen25ac
82043,56,64,38,0,3,161,gen25ac
82044,151,164,62,2,1,380,gen25ac
82045,96,119,19,2,3,239,gen25ac
82046,66,81,10,0,0,157,gen25ac
82047,73,71,12,0,1,157,gen25zm
82048,68,87,5,0,0,160,gen25ac
82049,68,55,7,3,0,133,gen25zm
82050,59,52,9,0,2,122,gen25zm
82051,72,49,5,3,0,129,gen25zm
82052,190,174,10,2,1,377,gen25zm
82053,18,24,6,0,0,48,gen25ac
82054,267,287,21,2,6,583,gen25ac
82055,262,268,36,3,3,572,gen25ac
82056,238,257,17,7,3,522,gen25ac
82057,307,260,28,5,3,603,gen25zm
82058,222,223,19,2,2,468,gen25ac
82059,243,258,23,2,3,529,gen25ac
82060,257,267,26,4,3,557,gen25ac
82061,283,254,24,5,4,570,gen25zm
82062,244,226,21,2,4,497,gen25zm
82063,276,310,26,1,9,622,gen25ac
82064,306,276,38,3,9,632,gen25zm
82065,0,0,0,0,0,0,Tie
82066,0,0,0,0,0,0,Tie
82067,0,0,0,0,0,0,Tie
82068,0,0,0,0,0,0,Tie
82069,0,0,0,0,0,0,Tie
82070,0,0,0,0,0,0,Tie
82071,0,0,0,0,0,0,Tie
82072,0,0,0,0,0,0,Tie
82073,0,0,0,0,0,0,Tie
82074,0,0,0,0,0,0,Tie
82075,0,0,0,0,0,0,Tie
82076,0,0,0,0,0,0,Tie
82077,0,0,0,0,0,0,Tie
83001,93,35,5,3,0,136,gen25zm
83002,77,61,4,0,0,142,gen25zm
83003,83,44,8,1,2,138,gen25zm
83004,54,42,4,1,1,102,gen25zm
83005,57,65,4,0,0,126,gen25ac
83006,148,103,13,0,1,265,gen25zm
83007,90,82,8,2,3,185,gen25zm
83008,231,110,5,1,1,348,gen25zm
83009,151,124,17,3,3,298,gen25zm
83010,204,142,11,1,0,358,gen25zm
83011,307,166,13,1,4,491,gen25zm
83012,197,130,15,1,3,346,gen25zm
83013,203,115,15,2,0,335,gen25zm
83014,94,67,4,4,0,169,gen25zm
83015,85,56,3,3,0,147,gen25zm
83016,190,177,9,5,1,382,gen25zm
83017,251,200,17,2,5,475,gen25zm
83018,70,64,3,3,1,141,gen25zm
83019,69,57,2,1,0,129,gen25zm
83020,122,70,5,1,0,198,gen25zm
83021,100,54,1,1,2,158,gen25zm
83022,45,23,1,0,0,69,gen25zm
83023,78,52,0,2,1,133,gen25zm
83024,63,45,3,0,1,112,gen25zm
83025,293,163,8,2,1,467,gen25zm
83026,134,74,8,1,0,217,gen25zm
83027,158,113,13,0,3,287,gen25zm
83028,166,108,5,3,1,283,gen25zm
83029,245,171,18,1,2,437,gen25zm
83030,197,152,17,0,1,367,gen25zm
83031,207,148,10,1,1,367,gen25zm
83032,220,178,19,3,3,423,gen25zm
83033,222,190,15,2,4,433,gen25zm
83034,267,177,11,7,2,464,gen25zm
83035,88,80,10,2,0,180,gen25zm
83036,90,66,8,0,0,164,gen25zm
83037,29,22,1,0,0,52,gen25zm
83038,144,117,11,3,1,276,gen25zm
83039,68,60,7,1,0,136,gen25zm
83040,60,37,7,0,1,105,gen25zm
83041,83,54,5,0,1,143,gen25zm
83042,108,97,4,1,1,211,gen25zm
83043,73,83,5,0,0,161,gen25ac
83044,104,105,7,2,1,219,gen25ac
83045,143,123,4,1,0,271,gen25zm
83046,66,37,9,2,1,115,gen25zm
83047,224,156,15,3,3,401,gen25zm
83048,259,192,11,3,3,468,gen25zm
83049,45,30,2,0,0,77,gen25zm
83050,113,96,9,3,5,226,gen25zm
83051,20,17,0,0,0,37,gen25zm
