aded25,gen21tot,gen21ea,gen21cs,gen21othr,win21,rvtot25,rvactive725,rvhisp,rvjwsh,rvirit,rvmslm,rvchns,rvgopnop,cvapnhw,cvapblack,cvaphisp,cvapasian,acsbaplus,acsmedinc125,acsmedinc45,ascown,ascrent,cvapyouth,cvapsenior,djt2024,ea2021,cs2021,bikelanefilter
23064,43.106,30.195,11.77,1.142,Eric Adams,507,342,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
23065,181.606,164.954,13.877,2.775,Eric Adams,945,782,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
23066,167.162,146.869,16.937,3.357,Eric Adams,1195,883,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1
23068,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23069,5.026,2.581,2.363,0.081,Eric Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23070,0.358,0.302,0.044,0.012,Eric Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23071,0,0,0,0,Tie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23072,0.16,0.068,0.083,0.009,Curtis Sliwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23074,39.854,5.42,32.627,1.807,Curtis Sliwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24001,63.962,53.944,9.247,0.771,Eric Adams,615,426,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
24002,107.049,68.554,35.178,3.317,Eric Adams,681,506,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
24003,148.777,98.839,46.41,3.529,Eric Adams,1583,1118,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
24004,159.876,104.388,51.507,3.981,Eric Adams,1335,991,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
24005,146.596,102.415,39.53,4.651,Eric Adams,1345,979,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
24006,188.474,109.746,72.755,5.973,Eric Adams,1693,1191,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
24007,112.029,77.514,31.742,2.772,Eric Adams,1279,910,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
24008,155.428,96.522,53.975,4.931,Eric Adams,1718,1208,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
24009,101.18,73.071,23.82,4.288,Eric Adams,1050,741,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
24010,198.123,167.647,25.86,4.616,Eric Adams,1559,1120,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
24011,130.565,84.665,40.729,5.171,Eric Adams,1172,844,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
24012,133.653,87.119,40.306,6.228,Eric Adams,1138,836,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
24013,163.196,118.46,40.22,4.516,Eric Adams,1643,1162,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
24014,200.458,131.178,64.398,4.882,Eric Adams,1535,1139,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
24015,172.505,107.722,61.117,3.666,Eric Adams,1643,1134,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
24016,85.978,63.302,21.224,1.451,Eric Adams,970,640,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
24017,19.733,15.18,3.864,0.69,Eric Adams,224,172,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
24018,94,57,32,5,Eric Adams,862,671,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
24019,176.395,110.565,58.261,7.569,Eric Adams,1504,1066,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
24020,61.651,49.932,9.819,1.899,Eric Adams,549,371,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
24021,286.94,139.099,125.45,22.391,Eric Adams,900,721,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
24022,59.946,20.637,38.326,0.983,Curtis Sliwa,167,132,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
24023,98.467,71.412,24.274,2.78,Eric Adams,1179,813,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
24024,199.682,108.309,82.8,8.573,Eric Adams,984,719,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
24025,105.346,56.536,45.374,3.436,Eric Adams,506,384,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
24026,120.856,75.45,39.926,5.48,Eric Adams,1041,726,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
24027,105.629,84.131,16.971,4.527,Eric Adams,649,523,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
24028,110.141,59.859,45.014,5.268,Eric Adams,677,560,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
24029,89.379,61.162,25.689,2.528,Eric Adams,1481,1103,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
24030,184.927,104.824,69.273,10.831,Eric Adams,1019,813,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0
24031,306.207,202.016,86.044,18.146,Eric Adams,1532,1159,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1
24032,235.961,164.708,65.286,5.967,Eric Adams,1561,1103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
24033,12.581,5.838,6.003,0.74,Curtis Sliwa,44,39,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
24034,58.787,45.221,11.511,2.055,Eric Adams,456,337,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
24035,80.264,57.978,18.782,3.505,Eric Adams,665,509,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1
24036,208.913,154.888,45.221,8.805,Eric Adams,1491,1157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
24037,131.695,94.408,32.099,5.188,Eric Adams,886,627,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1
24038,377,282,84,11,Eric Adams,1676,1365,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
24039,227.101,142.939,71.596,12.566,Eric Adams,1317,1017,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
24040,140,90,43,7,Eric Adams,950,718,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
24041,127.046,72.053,44.703,10.291,Eric Adams,989,700,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
24042,141.969,117.563,18.433,5.973,Eric Adams,882,715,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
24043,192.597,120.616,65.026,6.955,Eric Adams,1557,1181,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
24044,144.786,125.558,16.187,3.041,Eric Adams,811,613,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
24045,68.216,49.483,16.33,2.402,Eric Adams,269,224,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
24046,296.061,222.82,57.941,15.3,Eric Adams,1465,1197,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
24047,385.312,276.162,89.465,19.685,Eric Adams,1166,993,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
24048,252.211,174.128,66.459,11.624,Eric Adams,1257,1036,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
24049,515.026,196.536,303.583,14.907,Curtis Sliwa,1870,1573,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
24050,140.42,65.162,66.998,8.26,Curtis Sliwa,538,455,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
